customer_id,first_name,last_name,email,city,country,signup_date
1,Karan,Verma,karan.verma1@mail.com,Pune,India,2022-01-26
2,Neha,Roy,neha.roy2@mail.com,Mumbai,India,2022-05-23
3,Karan,Iyer,karan.iyer3@mail.com,Hyderabad,India,2022-03-31
4,Amit,Sharma,amit.sharma4@mail.com,Kolkata,India,2022-04-06
5,Neha,Iyer,neha.iyer5@mail.com,Delhi,India,2023-09-09
6,Arjun,Roy,arjun.roy6@mail.com,Hyderabad,India,2024-01-04
7,Neha,Nair,neha.nair7@mail.com,Pune,India,2023-08-27
8,Amit,Gupta,amit.gupta8@mail.com,Hyderabad,India,2023-12-16
9,Anjali,Mehta,anjali.mehta9@mail.com,Kolkata,India,2022-06-09
10,Anjali,Verma,anjali.verma10@mail.com,Hyderabad,India,2022-04-05
11,Rahul,Kapoor,rahul.kapoor11@mail.com,Chennai,India,2024-05-17
12,Pooja,Mehta,pooja.mehta12@mail.com,Delhi,India,2024-04-06
13,Isha,Nair,isha.nair13@mail.com,Mumbai,India,2023-07-04
14,Vikram,Verma,vikram.verma14@mail.com,Pune,India,2023-07-20
15,Karan,Reddy,karan.reddy15@mail.com,Chennai,India,2024-06-01
16,Pooja,Roy,pooja.roy16@mail.com,Mumbai,India,2023-12-23
17,Amit,Roy,amit.roy17@mail.com,Pune,India,2024-03-02
18,Rahul,Roy,rahul.roy18@mail.com,Mumbai,India,2024-06-06
19,Vikram,Mehta,vikram.mehta19@mail.com,Chennai,India,2023-04-10
20,Priya,Kapoor,priya.kapoor20@mail.com,Kolkata,India,2022-12-30
21,Karan,Mehta,karan.mehta21@mail.com,Mumbai,India,2023-12-20
22,Pooja,Gupta,pooja.gupta22@mail.com,Kolkata,India,2023-07-01
23,Priya,Nair,priya.nair23@mail.com,Pune,India,2023-01-24
24,Karan,Iyer,karan.iyer24@mail.com,Chennai,India,2022-08-13
25,Amit,Roy,amit.roy25@mail.com,Delhi,India,2024-04-21
26,Anjali,Das,anjali.das26@mail.com,Mumbai,India,2022-10-02
27,Neha,Reddy,neha.reddy27@mail.com,Chennai,India,2024-06-16
28,Neha,Nair,neha.nair28@mail.com,Ahmedabad,India,2023-02-10
29,Priya,Mehta,priya.mehta29@mail.com,Kolkata,India,2022-05-23
30,Isha,Iyer,isha.iyer30@mail.com,Pune,India,2023-07-06
31,Isha,Reddy,isha.reddy31@mail.com,Hyderabad,India,2023-03-15
32,Anjali,Roy,anjali.roy32@mail.com,Ahmedabad,India,2022-05-22
33,Rahul,Sharma,rahul.sharma33@mail.com,Mumbai,India,2024-05-31
34,Priya,Gupta,priya.gupta34@mail.com,Hyderabad,India,2024-03-22
35,Pooja,Verma,pooja.verma35@mail.com,Hyderabad,India,2023-01-30
36,Pooja,Nair,pooja.nair36@mail.com,Pune,India,2023-06-26
37,Arjun,Sharma,arjun.sharma37@mail.com,Mumbai,India,2023-11-28
38,Karan,Iyer,karan.iyer38@mail.com,Pune,India,2024-02-08
39,Karan,Kapoor,karan.kapoor39@mail.com,Pune,India,2022-04-25
40,Vikram,Gupta,vikram.gupta40@mail.com,Delhi,India,2023-04-10
41,Isha,Mehta,isha.mehta41@mail.com,Bangalore,India,2023-05-28
42,Arjun,Verma,arjun.verma42@mail.com,Pune,India,2024-06-10
43,Karan,Iyer,karan.iyer43@mail.com,Kolkata,India,2023-09-16
44,Priya,Kapoor,priya.kapoor44@mail.com,Bangalore,India,2024-02-20
45,Arjun,Iyer,arjun.iyer45@mail.com,Chennai,India,2022-01-01
46,Sneha,Sharma,sneha.sharma46@mail.com,Chennai,India,2022-04-25
47,Rohan,Roy,rohan.roy47@mail.com,Kolkata,India,2022-03-01
48,Pooja,Verma,pooja.verma48@mail.com,Ahmedabad,India,2022-03-29
49,Rahul,Iyer,rahul.iyer49@mail.com,Bangalore,India,2024-02-24
50,Priya,Nair,priya.nair50@mail.com,Bangalore,India,2023-07-17
51,Rohan,Iyer,rohan.iyer51@mail.com,Hyderabad,India,2024-06-12
52,Neha,Iyer,neha.iyer52@mail.com,Kolkata,India,2024-02-13
53,Isha,Mehta,isha.mehta53@mail.com,Chennai,India,2023-02-13
54,Sneha,Iyer,sneha.iyer54@mail.com,Mumbai,India,2023-04-08
55,Neha,Roy,neha.roy55@mail.com,Chennai,India,2022-03-07
56,Amit,Reddy,amit.reddy56@mail.com,Kolkata,India,2023-07-22
57,Pooja,Roy,pooja.roy57@mail.com,Mumbai,India,2022-01-08
58,Isha,Sharma,isha.sharma58@mail.com,Mumbai,India,2022-08-23
59,Amit,Kapoor,amit.kapoor59@mail.com,Kolkata,India,2022-03-14
60,Rohan,Nair,rohan.nair60@mail.com,Bangalore,India,2022-08-08
61,Isha,Reddy,isha.reddy61@mail.com,Ahmedabad,India,2023-08-14
62,Neha,Nair,neha.nair62@mail.com,Hyderabad,India,2024-04-06
63,Neha,Verma,neha.verma63@mail.com,Hyderabad,India,2022-04-10
64,Anjali,Das,anjali.das64@mail.com,Ahmedabad,India,2023-02-25
65,Isha,Sharma,isha.sharma65@mail.com,Mumbai,India,2023-11-21
66,Amit,Das,amit.das66@mail.com,Chennai,India,2024-01-16
67,Rahul,Roy,rahul.roy67@mail.com,Kolkata,India,2022-07-16
68,Arjun,Nair,arjun.nair68@mail.com,Hyderabad,India,2022-05-24
69,Priya,Mehta,priya.mehta69@mail.com,Kolkata,India,2023-04-19
70,Rahul,Nair,rahul.nair70@mail.com,Mumbai,India,2024-04-07
71,Amit,Iyer,amit.iyer71@mail.com,Delhi,India,2024-05-06
72,Rahul,Roy,rahul.roy72@mail.com,Hyderabad,India,2022-06-20
73,Sneha,Nair,sneha.nair73@mail.com,Hyderabad,India,2022-08-07
74,Amit,Gupta,amit.gupta74@mail.com,Delhi,India,2023-01-24
75,Vikram,Mehta,vikram.mehta75@mail.com,Ahmedabad,India,2024-03-13
76,Rohan,Das,rohan.das76@mail.com,Ahmedabad,India,2023-12-15
77,Priya,Roy,priya.roy77@mail.com,Kolkata,India,2022-10-31
78,Amit,Reddy,amit.reddy78@mail.com,Delhi,India,2024-01-24
79,Isha,Kapoor,isha.kapoor79@mail.com,Delhi,India,2022-02-28
80,Pooja,Nair,pooja.nair80@mail.com,Bangalore,India,2023-05-30
81,Amit,Iyer,amit.iyer81@mail.com,Bangalore,India,2022-03-24
82,Rahul,Reddy,rahul.reddy82@mail.com,Kolkata,India,2022-03-11
83,Vikram,Verma,vikram.verma83@mail.com,Kolkata,India,2023-08-07
84,Pooja,Reddy,pooja.reddy84@mail.com,Mumbai,India,2022-02-10
85,Vikram,Reddy,vikram.reddy85@mail.com,Chennai,India,2023-08-02
86,Rohan,Roy,rohan.roy86@mail.com,Chennai,India,2023-11-17
87,Neha,Mehta,neha.mehta87@mail.com,Bangalore,India,2023-02-10
